county,district
Alameda,4
Alpine,10
Amador,10
Butte,3
Calaveras,10
Colusa,3
Contra Costa,4
Del Norte,1
El Dorado,3
Fresno,6
Glenn,3
Humboldt,1
Imperial,11
Inyo,9
Kern,6
Kings,6
Lake,1
Lassen,2
Los Angeles,7
Madera,6
Marin,4
Mariposa,10
Mendocino,1
Merced,10
Modoc,2
Mono,9
Monterey,5
Napa,4
Nevada,3
Orange,12
Placer,3
Plumas,2
Riverside,8
Sacramento,3
San Benito,5
San Bernardino,8
San Diego,11
San Francisco,4
San Joaquin,10
San Luis Obispo,5
San Mateo,4
Santa Barbara,5
Santa Clara,4
Santa Cruz,5
Shasta,2
Sierra,3
Siskiyou,2
Solano,4
Sonoma,4
Stanislaus,10
Sutter,3
Tehama,2
Trinity; portions of Butte and Sierra,2
Tulare,6
Tuolumne,10
Ventura,7
Yolo,3
Yuba,3
